title,year,length,budget,rating,votes,genre,RatedR
Midnight in the Garden of Good and Evil,1997,104,30,6.4,8517,Drama,R_rated
Mighty Aphrodite,1995,103,15,7,7083,Comedy,R_rated
Million Dollar Baby,2004,112,30,8.3,20195,Drama,Non_R_Rated
"Million Dollar Hotel, The",2000,109,8,5.5,4746,Drama,R_rated
Mindhunters,2004,123,27,6.3,3925,Action,R_rated
"Minion, The",1998,115,12,3.2,338,Action,R_rated
Minority Report,2002,148,102,7.8,51199,Action,Non_R_Rated
"Mirror Has Two Faces, The",1996,104,42,5.7,2775,Comedy,Non_R_Rated
Miss Congeniality,2000,115,45,6.2,16235,Comedy,Non_R_Rated
Mission: Impossible,1996,113,75,6.6,33496,Action,Non_R_Rated
Mission: Impossible II,2000,119,125,5.7,35958,Action,Non_R_Rated
Modigliani,2004,104,12,7,155,Drama,R_rated
Molly,1999,101,21,5.5,610,Comedy,Non_R_Rated
"Molly Maguires, The",1970,112,11,6.6,455,Drama,Non_R_Rated
Mona Lisa Smile,2003,113,65,6.1,6838,Comedy,Non_R_Rated
Money Talks,1997,116,25,5.5,2720,Action,R_rated
Money Train,1995,101,68,5.1,5081,Action,R_rated
Monkeybone,2001,120,75,4.7,3112,Animation,Non_R_Rated
Monsoon Wife,2004,101,1,4.7,15,Drama,R_rated
Monster,2003,108,8,7.4,12306,Drama,R_rated
Monster's Ball,2001,107,4,7.3,15037,Drama,R_rated
Monster-in-Law,2005,182,60,5.6,147,Comedy,Non_R_Rated
Montana,1998,107,4,6.1,417,Action,R_rated
Moonlight Mile,2002,104,20,6.9,3479,Drama,Non_R_Rated
Mortal Kombat,1995,118,20,5,8779,Action,Non_R_Rated
Mortal Kombat: Annihilation,1997,173,30,3,5799,Action,Non_R_Rated
Mother Night,1996,103,5.5,7.1,1232,Drama,R_rated
Moulin Rouge!,2001,150,52.5,7.7,47689,Drama,Non_R_Rated
Mousehunt,1997,115,38,5.8,4637,Action,Non_R_Rated
Mr 3000,2004,175,30,5.7,1459,Comedy,Non_R_Rated
Mr. Deeds,2002,104,50,5.5,11729,Comedy,Non_R_Rated
Mrs. Winterbourne,1996,107,25,5.8,1310,Comedy,Non_R_Rated
"Mudge Boy, The",2003,121,0.8,6.8,204,Drama,R_rated
Muertos de risa,1999,116,3.5,6.3,334,Comedy,R_rated
Mulholland Dr.,2001,107,15,7.9,35504,Drama,R_rated
Multiplicity,1996,116,45,5.7,5241,Comedy,Non_R_Rated
Mumford,1999,103,28,6.9,3384,Comedy,R_rated
"Mummy Returns, The",2001,119,98,6.1,23551,Action,Non_R_Rated
"Mummy, The",1999,102,76,6.5,36216,Action,Non_R_Rated
Muriel's Wedding,1994,122,3,7.1,6685,Comedy,R_rated
"Muse, The",1999,111,15,5.6,3513,Comedy,Non_R_Rated
Music of the Heart,1999,103,27,6.6,2348,Drama,Non_R_Rated
"Musketeer, The",2001,101,40,4.4,3966,Action,Non_R_Rated
Mutant Aliens,2001,104,0.2,6.4,223,Animation,R_rated
Mute Witness,1994,127,2,6.8,1202,Comedy,R_rated
My Best Friend's Wedding,1997,107,46,6.4,16648,Comedy,Non_R_Rated
My Big Fat Greek Wedding,2002,110,5,6.9,21675,Comedy,Non_R_Rated
My Boss's Daughter,2003,101,14,4.1,2765,Comedy,R_rated
My Cousin Vinny,1992,101,11,7.2,10877,Comedy,R_rated
My Dog Skip,2000,107,7,7.1,3109,Drama,Non_R_Rated
My Family,1995,106,5.5,7,859,Drama,R_rated
My Favorite Martian,1999,105,60,4.5,1942,Comedy,Non_R_Rated
My Fellow Americans,1996,113,21.5,6.3,2752,Comedy,Non_R_Rated
My Life's in Turnaround,1993,109,0.022,3.9,196,Comedy,R_rated
Mystery Men,1999,115,68,5.8,13331,Action,Non_R_Rated
"Mystery, Alaska",1999,109,28,6.4,5440,Comedy,R_rated
"Mystic Masseur, The",2001,115,2.5,5.2,157,Drama,Non_R_Rated
Mystic River,2003,106,30,8,28969,Drama,R_rated
Nadja,1994,104,1,5.7,781,Drama,R_rated
Napoleon Dynamite,2004,125,0.4,7.2,17524,Comedy,Non_R_Rated
Naqoyqatsi,2002,103,3,6.9,575,Documentary,Non_R_Rated
Narc,2002,122,7.5,7.3,7185,Drama,R_rated
National Treasure,2004,121,100,6.6,12361,Action,Non_R_Rated
"Negotiator, The",1998,131,50,7.2,19100,Action,R_rated
"Net, The",1995,105,22,5.6,12201,Action,Non_R_Rated
Never Again,2001,105,0.5,5.7,309,Comedy,R_rated
"New Guy, The",2002,120,13,5.2,4266,Comedy,Non_R_Rated
New Jersey Drive,1995,119,5,5.4,348,Drama,R_rated
"Newton Boys, The",1998,101,27,5.7,2003,Action,Non_R_Rated
"Next Best Thing, The",2000,108,25,4.7,3131,Comedy,Non_R_Rated
Next Friday,2000,134,9.5,5.2,3457,Comedy,R_rated
Next Stop Wonderland,1998,114,1,6.7,1467,Comedy,R_rated
Nicholas Nickleby,2002,150,10,7.4,1651,Drama,Non_R_Rated
Nil by Mouth,1997,125,9,6.9,1159,Drama,R_rated
Nixon,1995,129,50,6.8,5837,Drama,R_rated
No Code of Conduct,1998,115,12,4.4,314,Action,R_rated
No Looking Back,1998,174,5,5.6,622,Comedy,R_rated
No Way Home,1996,127,4,6.6,328,Drama,R_rated
Nochnoy dozor,2004,142,4.2,6.3,1020,Action,R_rated
Northfork,2003,109,1.9,6.2,1521,Drama,Non_R_Rated
Not Another Teen Movie,2001,115,16,5.2,10295,Comedy,R_rated
"Notebook, The",2004,105,30,7.8,8830,Drama,Non_R_Rated
Notting Hill,1999,111,42,7,27285,Comedy,Non_R_Rated
November,2004,230,0.3,2.8,164,Drama,R_rated
Novocaine,2001,105,6,5.9,2829,Comedy,R_rated
Nueve reinas,2000,104,1.5,7.6,3721,Drama,R_rated
Nurse Betty,2000,112,24,6.6,10441,Comedy,R_rated
Nutty Professor II: The Klumps,2000,112,84,4.5,5825,Comedy,Non_R_Rated
"Nutty Professor, The",1996,116,54,5.8,12273,Comedy,Non_R_Rated
O,2001,121,5,6.3,4555,Drama,R_rated
"O Brother, Where Art Thou?",2000,105,26,7.8,37961,Comedy,Non_R_Rated
"Object of My Affection, The",1998,104,15,6,4027,Comedy,R_rated
Ocean's Eleven,2001,120,85,7.5,44662,Comedy,Non_R_Rated
Ocean's Twelve,2004,107,110,6,14797,Comedy,Non_R_Rated
Office Space,1999,188,10,7.7,26134,Comedy,R_rated
Old School,2003,156,24,6.7,14283,Comedy,R_rated
On the Border,1998,123,3,4.8,165,Drama,R_rated
On the Line,2001,110,10,4.1,1013,Comedy,Non_R_Rated
Once Upon a Time in America,1984,107,30,8.2,19292,Drama,R_rated
Once Upon a Time in Mexico,2003,109,29,6,14732,Action,R_rated
One Eight Seven,1997,133,23,6.3,2958,Drama,R_rated
One Eyed King,2001,108,6.5,5.1,81,Drama,R_rated
One Hell of a Christmas,2002,101,0.4,2.7,70,Comedy,R_rated
One Hour Photo,2002,113,12,7.1,17130,Drama,R_rated
One Night Stand,1997,112,24,5.7,1709,Drama,R_rated
One True Thing,1998,127,30,7,2534,Drama,R_rated
Onegin,1999,106,14,6.3,1327,Drama,R_rated
Open Range,2003,139,26,7.5,8799,Drama,R_rated
Open Water,2003,79,0.13,6.1,7204,Drama,R_rated
Orange County,2002,82,18,6.1,8526,Comedy,Non_R_Rated
Orgazmo,1997,92,1,5.7,5128,Comedy,Non_R_Rated
Original Gangstas,1996,99,4.8,5.3,216,Drama,R_rated
"Original Kings of Comedy, The",2000,115,3,6.1,1386,Comedy,R_rated
Original Sin,2001,116,26,5.5,4592,Drama,R_rated
Osama,2003,83,0.046,7.5,1546,Drama,Non_R_Rated
Osmosis Jones,2001,95,75,6.2,3410,Animation,Non_R_Rated
Othello,1995,123,11,6.8,1852,Drama,R_rated
"Other Side of Heaven, The",2001,113,7,6.5,683,Drama,Non_R_Rated
"Others, The",2001,104,17,7.8,36914,Drama,Non_R_Rated
"Otra conquista, La",1998,106,3.5,6.7,140,Drama,R_rated
Out Cold,2001,92,11,5.2,1990,Comedy,Non_R_Rated
Out for a Kill,2003,88,20,3,818,Action,R_rated
Out of Reach,2004,88,20,3.7,399,Action,R_rated
Out-of-Sync,1995,105,1.5,4.7,37,Drama,R_rated
"Out-of-Towners, The",1999,90,40,5,2919,Comedy,Non_R_Rated
Outbreak,1995,127,50,6.4,13796,Drama,R_rated
Outside Providence,1999,96,7,6.1,2735,Comedy,R_rated
"Outsiders, The",1983,91,10,6.8,7125,Drama,Non_R_Rated
Overnight Delivery,1998,87,12,5.9,1229,Comedy,Non_R_Rated
Owning Mahowny,2003,104,10,7,1999,Drama,R_rated
P.S. Your Cat Is Dead,2002,88,2,4.7,185,Comedy,R_rated
"Pacifier, The",2005,95,56,4.9,2179,Action,Non_R_Rated
"Packing Suburbia, A",1999,90,0.04,4.5,38,Drama,R_rated
Paint Your Wagon,1969,158,20,6.5,2011,Comedy,Non_R_Rated
Pandaemonium,2000,124,15,6.2,244,Drama,Non_R_Rated
Panic,2000,88,1,6.9,2524,Comedy,R_rated
Panic Room,2002,113,48,7,24302,Drama,R_rated
Paparazzi,2004,84,20,5.6,2028,Drama,Non_R_Rated
Party Monster,2003,98,5,5.8,1976,Drama,R_rated
"Passion of the Christ, The",2004,127,30,7.4,34046,Drama,R_rated
Patch Adams,1998,115,50,6.1,12110,Comedy,Non_R_Rated
"Patriot, The",2000,164,110,6.8,29665,Action,R_rated
Pavilion of Women,2001,111,5,5.3,209,Drama,R_rated
Pay It Forward,2000,123,40,6.7,13531,Drama,Non_R_Rated
Paycheck,2003,119,60,6.1,10383,Action,Non_R_Rated
"Peacekeeper, The",1997,98,10,4.6,505,Action,R_rated
"Peacemaker, The",1997,124,50,5.9,8994,Action,R_rated
Pearl Harbor,2001,184,135.25,5.4,33409,Action,R_rated
Pecker,1998,87,6,6.4,4013,Comedy,R_rated
Pep Squad,1998,94,0.5,4.4,120,Comedy,R_rated
"Perez Family, The",1995,113,11,6,517,Comedy,R_rated
"Perfect Storm, The",2000,130,120,6.2,24946,Action,Non_R_Rated
Perfect Target,1997,89,3.5,4.2,55,Action,R_rated
"Pest, The",1997,84,17,3.8,1405,Comedy,Non_R_Rated
Peter Pan,2003,113,100,7.2,5596,Action,Non_R_Rated
"Phantom of the Opera, The",2004,143,60,7.2,11283,Drama,Non_R_Rated
"Phantom, The",1996,100,45,5,3329,Action,Non_R_Rated
Phenomenon,1996,123,32,6.3,12075,Drama,Non_R_Rated
"Pianist, The",2002,150,35,8.5,30467,Drama,R_rated
Picture Perfect,1997,105,19,5.6,3019,Comedy,Non_R_Rated
Pieces of April,2003,80,0.3,7.3,4604,Comedy,Non_R_Rated
Pink Flamingos,1972,108,0.012,6.1,2029,Comedy,Non_R_Rated
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,125,8,60812,Action,Non_R_Rated
Planet of the Apes,2001,119,100,5.6,28601,Action,Non_R_Rated
Play It to the Bone,1999,124,24,5.1,2645,Comedy,R_rated
Playing by Heart,1998,121,14,7.1,4958,Drama,R_rated
Pleasantville,1998,124,40,7.5,22561,Comedy,Non_R_Rated
"Pledge, The",2001,123,45,6.9,9852,Drama,R_rated
"Point Men, The",2001,88,6.1,4.6,266,Action,R_rated
Pollock,2000,132,6,7.1,4013,Drama,R_rated
Poolhall Junkies,2002,94,4,6.6,1411,Drama,R_rated
Pootie Tang,2001,70,3,4.1,1921,Action,Non_R_Rated
Possums,1998,97,1.4,5.3,66,Comedy,Non_R_Rated
"Postino, Il",1994,108,3,7.6,8342,Comedy,Non_R_Rated
"Powerpuff Girls, The",2002,73,10,6.2,1334,Action,Non_R_Rated
Practical Magic,1998,103,60,5.4,7786,Drama,Non_R_Rated
Price of Glory,2000,118,10,6.2,265,Drama,Non_R_Rated
Primal Fear,1996,129,30,7.5,12467,Drama,R_rated
Primary Colors,1998,143,65,6.8,7756,Comedy,R_rated
Primer,2004,77,0.007,6.4,1466,Drama,Non_R_Rated
"Prince of Egypt, The",1998,99,60,6.9,9212,Animation,Non_R_Rated
Private Parts,1997,109,20,6.6,9289,Comedy,R_rated
Proof of Life,2000,135,65,6.3,9592,Action,R_rated
Prozac Nation,2001,99,9,6.2,940,Drama,R_rated
Pulp Fiction,1994,168,8,8.8,132745,Drama,R_rated
Punch-Drunk Love,2002,95,25,7.5,18169,Comedy,R_rated
"Punisher, The",2004,124,33,6.2,9989,Action,R_rated
Pushing Tin,1999,119,33,5.9,7528,Comedy,R_rated
Queen's Messenger II,2001,90,4,6,27,Action,R_rated
"Quiet American, The",2002,101,30,7.4,5957,Drama,R_rated
"R.M., The",2003,101,0.5,5.3,213,Comedy,Non_R_Rated
Rabbit-Proof Fence,2002,94,6,7.7,5079,Drama,Non_R_Rated
Rachel's Attic,2002,112,0.083,2.4,58,Action,R_rated
Radio,2003,109,35,6.9,3594,Drama,Non_R_Rated
"Rainbow Thief, The",1990,87,10,6,49,Drama,R_rated
"Rainmaker, The",1997,135,40,6.8,8620,Drama,Non_R_Rated
Raise Your Voice,2004,103,15,4.3,1626,Drama,Non_R_Rated
Raising Victor Vargas,2002,88,0.8,6.7,1785,Comedy,R_rated
Raising the Stakes,1999,88,0.1,4.7,24,Drama,R_rated
Rancid Aluminium,2000,88,12,3.5,352,Drama,R_rated
Random Hearts,1999,133,64,4.8,5919,Drama,R_rated
Ransom,1996,139,80,6.6,17678,Action,R_rated
Rare Birds,2001,99,5,6.4,471,Comedy,R_rated
Rat Race,2001,112,48,6.5,13913,Comedy,Non_R_Rated
Ravenous,1999,108,12,6.7,5915,Comedy,R_rated
"Real Cancun, The",2003,96,8,2.8,1504,Documentary,R_rated
Real Women Have Curves,2002,87,3,7,1944,Comedy,Non_R_Rated
Rebel Without a Cause,1955,111,1.5,7.8,11055,Drama,Non_R_Rated
"Red Baron, The",1971,97,0.9,4.9,120,Action,Non_R_Rated
Red Planet,2000,106,75,5.3,8623,Action,Non_R_Rated
Reign of Fire,2002,101,95,5.8,11452,Action,Non_R_Rated
Reindeer Games,2000,124,36,5.5,7120,Action,R_rated
Remember the Titans,2000,113,30,7.4,14195,Drama,Non_R_Rated
"Replacement Killers, The",1998,87,30,5.8,6825,Action,R_rated
"Replacements, The",2000,114,50,6.2,7617,Comedy,Non_R_Rated
Repli-Kate,2002,121,4,5.6,791,Comedy,R_rated
Requiem for a Dream,2000,102,4.5,8.4,47845,Drama,R_rated
Resident Evil,2002,100,35,6.2,18978,Action,R_rated
Resident Evil: Apocalypse,2004,94,50,5.6,10486,Action,R_rated
Restoration,1995,117,18,6.6,1874,Drama,R_rated
Resurrection Man,1998,102,4,4.6,214,Drama,R_rated
Return to Me,2000,115,24,6.9,5057,Comedy,Non_R_Rated
Revelation,1999,98,5,4.5,203,Action,Non_R_Rated
Riders,2002,83,15,5.1,922,Action,R_rated
Riding in Cars with Boys,2001,132,48,6.2,4627,Comedy,Non_R_Rated
"Ring, The",2002,115,45,7.4,30687,Drama,Non_R_Rated
Ripley's Game,2002,112,30,6.6,2680,Drama,R_rated
Road Trip,2000,94,15.6,6.3,15981,Comedy,R_rated
"Road to El Dorado, The",2000,89,95,6.3,2838,Action,Non_R_Rated
Road to Perdition,2002,117,80,7.7,30526,Drama,R_rated
Rob Roy,1995,133,28,6.8,6652,Action,R_rated
Robots,2005,91,75,6.4,4089,Animation,Non_R_Rated
Rock 'n' Roll Frankenstein,1999,88,0.25,4.3,66,Comedy,R_rated
Rock Star,2001,105,38,5.8,5100,Comedy,R_rated
"Rock, The",1996,136,75,7,46184,Action,R_rated
Rollerball,2002,97,70,2.8,5328,Action,R_rated
Romeo + Juliet,1996,120,14.5,6.7,22306,Action,Non_R_Rated
Romeo Must Die,2000,115,25,5.8,10229,Action,R_rated
Ronin,1998,121,55,7,21982,Action,R_rated
"Room, The",2003,99,6,2.7,81,Comedy,R_rated
Rosewood,1997,140,31,6.8,1840,Action,R_rated
Rounders,1998,121,12,7.2,13621,Drama,R_rated
Route 666,2001,86,2.3,4,487,Action,R_rated
"Royal Tenenbaums, The",2001,111,21,7.6,31227,Comedy,R_rated
Rugrats Go Wild!,2003,81,25,4.8,423,Animation,Non_R_Rated
"Rules of Attraction, The",2002,110,4,6.7,8552,Comedy,R_rated
Rules of Engagement,2000,128,60,6.3,7903,Drama,R_rated
Runaway Bride,1999,116,70,5.4,12624,Comedy,Non_R_Rated
Runaway Jury,2003,127,60,7.1,10761,Drama,Non_R_Rated
"Rundown, The",2003,104,85,6.5,8067,Action,Non_R_Rated
Rush Hour,1998,93,35,6.7,18336,Action,Non_R_Rated
Rush Hour 2,2001,86,90,6.5,16581,Action,Non_R_Rated
Rushmore,1998,93,10,7.7,22209,Comedy,R_rated
Ryan's Daughter,1970,202,15,7.4,965,Drama,R_rated
S.W.A.T.,2003,117,80,5.9,12732,Action,Non_R_Rated
Sabrina,1995,127,58,6.1,7547,Comedy,Non_R_Rated
Safe Men,1998,88,1,6.1,590,Comedy,R_rated
Sahara,2005,124,130,5.8,3004,Action,Non_R_Rated
"Saint, The",1997,116,70,5.7,12591,Action,Non_R_Rated
Saints and Soldiers,2003,90,0.78,6.9,689,Action,Non_R_Rated
"Salton Sea, The",2002,107,18,7.2,5070,Drama,R_rated
Samsara,2001,138,3,7.6,636,Action,R_rated
"Sand Pebbles, The",1966,193,12,7.6,1773,Drama,Non_R_Rated
Santa sangre,1989,123,0.787,7.2,1165,Drama,R_rated
Saturn,1999,94,0.35,5.5,43,Drama,R_rated
Savage,1995,99,5,4.1,93,Action,R_rated
Save the Last Dance,2001,112,13,6.1,7613,Drama,Non_R_Rated
Saved!,2004,92,5,7.1,6504,Comedy,Non_R_Rated
Saving Private Ryan,1998,170,70,8.3,100267,Action,R_rated
Saving Silverman,2001,96,22,5.4,6684,Comedy,R_rated
Savior,1998,104,10,7.2,1775,Drama,R_rated
Say It Isn't So,2001,93,25,4.6,3144,Comedy,R_rated
"Scarlet Letter, The",1995,135,50,4.4,2426,Drama,R_rated
Scary Movie,2000,88,19,5.5,23293,Comedy,R_rated
Scary Movie 2,2001,83,45,4.2,12035,Comedy,R_rated
Scary Movie 3,2003,84,45,5.3,9225,Comedy,Non_R_Rated
Schindler's List,1993,195,25,8.8,97667,Drama,R_rated
"School of Rock, The",2003,108,20,7.4,16452,Comedy,Non_R_Rated
Scooby-Doo,2002,86,84,4.8,9618,Comedy,Non_R_Rated
"Score, The",2001,124,68,6.8,16106,Drama,R_rated
"Scorpion King, The",2002,92,60,5.3,10111,Action,Non_R_Rated
Screwed,2000,78,10,4.8,1592,Comedy,Non_R_Rated
Se7en,1995,127,30,8.4,88371,Drama,R_rated
Seabiscuit,2003,141,86,7.5,11552,Drama,Non_R_Rated
Search and Destroy,1995,90,4,5,402,Comedy,R_rated
Searching for Debra Winger,2002,97,0.6,5.6,301,Documentary,R_rated
Secondhand Lions,2003,120,30,7.4,5543,Comedy,Non_R_Rated
Secret Window,2004,96,40,6.3,13260,Drama,Non_R_Rated
Secrets & Lies,1996,136,4.5,7.9,7747,Comedy,R_rated
See Spot Run,2001,94,16,5,1193,Comedy,Non_R_Rated
Seed of Chucky,2004,87,12,5.1,1342,Comedy,R_rated
Selena,1997,127,20,6.1,2870,Drama,Non_R_Rated
Sense and Sensibility,1995,136,16.5,7.7,13904,Comedy,Non_R_Rated
Serendipity,2001,90,28,6.6,10795,Comedy,Non_R_Rated
Serial Mom,1994,95,13,6.3,4750,Comedy,R_rated
"Serpent's Kiss, The",1997,104,13,5.3,368,Drama,R_rated
Serving Sara,2002,99,29,4.6,2990,Comedy,Non_R_Rated
Session 9,2001,97,1.5,6.6,3718,Drama,R_rated
Set It Off,1996,123,9,6.1,1619,Action,R_rated
Seven Years in Tibet,1997,139,70,6.6,9426,Drama,Non_R_Rated
Sgt. Bilko,1996,93,39,5.1,3712,Comedy,Non_R_Rated
Shade,2003,101,6.8,6.5,1616,Drama,R_rated
Shadow Conspiracy,1997,103,45,4.5,1078,Action,R_rated
Shaft,2000,99,46,6,13742,Action,R_rated
Shakes the Clown,1992,87,1.4,5.5,838,Comedy,R_rated
Shakespeare in Love,1998,122,25,7.5,41999,Comedy,R_rated
Shall We Dance,2004,106,40,6,3479,Comedy,Non_R_Rated
Shallow Grave,1994,93,2.5,7.4,9401,Drama,R_rated
Shallow Hal,2001,113,40,6.1,13217,Comedy,Non_R_Rated
Shanghai Knights,2003,114,50,6.3,7279,Action,Non_R_Rated
Shanghai Noon,2000,110,55,6.7,12258,Action,Non_R_Rated
"Shape of Things, The",2003,96,4,6.9,1816,Drama,R_rated
Shark Tale,2004,90,75,5.9,7819,Action,Non_R_Rated
Shattered Glass,2003,95,6,7.5,4108,Drama,Non_R_Rated
Shaun of the Dead,2004,99,4,7.9,18685,Comedy,R_rated
"Shawshank Redemption, The",1994,142,25,9.1,149494,Drama,R_rated
She's All That,1999,95,10,5.5,13070,Comedy,Non_R_Rated
She's So Lovely,1997,100,18,5.7,2280,Comedy,R_rated
She's the One,1996,96,3.5,6,3779,Comedy,R_rated
Shine,1996,105,5.5,7.6,12425,Drama,Non_R_Rated
"Shipping News, The",2001,111,35,6.9,7695,Drama,R_rated
Shooting Fish,1997,103,3,6.6,2701,Comedy,Non_R_Rated
"Shot at Glory, A",2000,114,9,6.3,286,Drama,R_rated
Showgirls,1995,131,45,3.8,11483,Drama,Non_R_Rated
Showtime,2002,96,85,5.5,7689,Action,Non_R_Rated
Shrek,2001,90,60,8,65146,Animation,Non_R_Rated
Shrek 2,2004,92,75,7.8,27236,Animation,Non_R_Rated
"Shrink Is In, The",2001,87,6,4.9,319,Comedy,R_rated
Shutter,2001,24,0.015,3.5,12,Short,R_rated
