title,year,length,budget,rating,votes,genre,RatedR
Sidewalks of New York,2001,108,1,6.5,1998,Comedy,R_rated
Sideways,2004,123,16,8,17051,Comedy,R_rated
"Siege, The",1998,116,70,5.9,9725,Action,R_rated
Signs,2002,108,72,7.1,40285,Drama,Non_R_Rated
Silent Trigger,1996,90,15,4.7,432,Action,R_rated
Simon Birch,1998,113,20,6.8,4612,Comedy,Non_R_Rated
"Simple Plan, A",1998,121,17,7.6,15398,Drama,R_rated
"Simple Wish, A",1997,89,28,5,423,Comedy,Non_R_Rated
Simply Irresistible,1999,94,6,4.7,3083,Comedy,Non_R_Rated
Sin City,2005,124,45.5,8.3,23473,Action,R_rated
Sinbad: Legend of the Seven Seas,2003,86,60,6.5,2340,Animation,Non_R_Rated
"Singing Detective, The",2003,109,10,5.3,1184,Comedy,R_rated
"Singles Ward, The",2002,102,0.5,5.7,291,Comedy,Non_R_Rated
Siunin Wong Fei-hung tsi titmalau,1993,90,2,7.4,3173,Action,Non_R_Rated
Six-String Samurai,1998,91,2,6.2,1163,Action,Non_R_Rated
"Sixth Sense, The",1999,107,55,8.2,96987,Drama,Non_R_Rated
Skeletons in the Closet,2000,86,1.5,5.4,239,Drama,R_rated
Skin Deep,2003,89,0.4,3.8,31,Action,R_rated
"Skulls, The",2000,106,15,5.3,6530,Drama,Non_R_Rated
Sky Captain and the World of Tomorrow,2004,106,40,6.5,12579,Action,Non_R_Rated
Slackers,2002,86,11,4.7,2755,Comedy,R_rated
Slam,1998,100,1,7.1,569,Drama,R_rated
Slap Her... She's French,2002,92,10,4.7,811,Comedy,Non_R_Rated
"Slaughter Rule, The",2002,112,0.5,6,356,Drama,R_rated
Sleepers,1996,147,44,7,17896,Drama,R_rated
"Sleeping Dictionary, The",2003,109,12,6.1,696,Drama,R_rated
Sleepover,2004,89,10,4.1,733,Comedy,Non_R_Rated
Slums of Beverly Hills,1998,92,5,6.4,2914,Comedy,R_rated
Small Soldiers,1998,110,40,5.8,6938,Action,Non_R_Rated
Small Time Crooks,2000,94,18,6.5,6218,Comedy,Non_R_Rated
"Smile Like Yours, A",1997,98,18,4.5,348,Comedy,R_rated
Smilla's Sense of Snow,1997,120,35,6.3,3722,Action,R_rated
Smoke,1995,112,7,7.4,8111,Comedy,R_rated
Smoke Signals,1998,88,2,7.2,2665,Comedy,Non_R_Rated
Snatch.,2000,102,10,7.9,44785,Comedy,R_rated
Snitch,1998,90,11,6.2,412,Action,R_rated
Snow Day,2000,89,13,4.6,1645,Comedy,Non_R_Rated
Snow Dogs,2002,99,35,5.1,2379,Comedy,Non_R_Rated
Snow Falling on Cedars,1999,127,36,6.7,4536,Drama,Non_R_Rated
Soho Square,2000,79,0.007,4.9,45,Drama,R_rated
Sol Goode,2001,99,3,5.4,291,Comedy,R_rated
Solaris,2002,99,47,6.3,11808,Drama,Non_R_Rated
Soldier,1998,98,75,5.2,5590,Action,R_rated
Solitaire for 2,1995,106,1.5,4.8,122,Comedy,R_rated
Someone Like You...,2001,97,23,5.7,4249,Comedy,Non_R_Rated
Son of the Mask,2005,94,74,1.9,1785,Action,Non_R_Rated
Songcatcher,2000,109,1.8,7.2,927,Drama,Non_R_Rated
Sons of Provo,2004,93,0.2,4.3,35,Comedy,Non_R_Rated
Sorority Boys,2002,93,12,5.1,2398,Comedy,R_rated
Soul Assassin,2001,96,7,4,376,Action,R_rated
Soul Food,1997,114,7.5,6.5,1166,Comedy,R_rated
Soul Plane,2004,92,16,3.2,2361,Comedy,R_rated
South Park: Bigger Longer & Uncut,1999,81,21,7.6,33188,Animation,R_rated
Space Jam,1996,87,80,5.2,7995,Animation,Non_R_Rated
Space Truckers,1996,95,25,4.5,1460,Comedy,Non_R_Rated
Spanglish,2004,130,80,6.7,4698,Comedy,Non_R_Rated
Spanish Judges,1999,98,3.5,4.8,178,Drama,R_rated
Spawn,1997,98,40,4.6,7523,Action,Non_R_Rated
Species,1995,108,35,5.4,8963,Action,R_rated
Speed,1994,116,28,7.1,32979,Action,R_rated
Speed 2: Cruise Control,1997,121,110,3.3,13268,Action,Non_R_Rated
Speedway Junky,1999,105,1,5.3,469,Drama,R_rated
Spice World,1997,93,25,3,7710,Comedy,Non_R_Rated
Spider,2002,94,8,6.8,5193,Drama,R_rated
Spider-Man,2002,121,139,7.4,63228,Action,Non_R_Rated
Spider-Man 2,2004,127,200,7.9,40256,Action,Non_R_Rated
"SpongeBob SquarePants Movie, The",2004,90,30,6.5,2672,Animation,Non_R_Rated
Spring Forward,1999,110,2,7.1,307,Drama,R_rated
Spun,2002,106,2.8,6.2,3924,Comedy,R_rated
Spy Game,2001,126,92,7,16736,Action,R_rated
Spy Hard,1996,81,18,4.5,4686,Action,Non_R_Rated
Spy Kids 2: Island of Lost Dreams,2002,99,39,5.8,3175,Action,Non_R_Rated
Spy Kids 3-D: Game Over,2003,84,39,4.7,2597,Action,Non_R_Rated
"Stand-In, The",1999,100,0.4,5.6,42,Drama,Non_R_Rated
Star Trek: First Contact,1996,106,45,7.3,25046,Action,Non_R_Rated
Star Trek: Insurrection,1998,103,58,6.3,13395,Action,Non_R_Rated
Star Trek: Nemesis,2002,116,70,6.5,11785,Action,Non_R_Rated
Star Trek: The Wrath of Khan,1982,116,11,7.6,16333,Action,Non_R_Rated
Star Wars,1977,125,11,8.8,134640,Action,Non_R_Rated
Star Wars: Episode I - The Phantom Menace,1999,133,115,6.4,84488,Action,Non_R_Rated
Star Wars: Episode II - Attack of the Clones,2002,120,120,7,63889,Action,Non_R_Rated
Star Wars: Episode V - The Empire Strikes Back,1980,129,18,8.8,103706,Action,Non_R_Rated
Star Wars: Episode VI - Return of the Jedi,1983,135,32.5,8.1,82471,Action,Non_R_Rated
Stark Raving Mad,2002,102,5,6.2,601,Comedy,R_rated
Starkweather,2004,92,1,4.6,89,Drama,R_rated
Starship Troopers,1997,129,95,6.7,32618,Action,R_rated
Starsky & Hutch,2004,101,60,6.3,13529,Action,Non_R_Rated
"Statement, The",2003,120,23,6.1,710,Drama,R_rated
Stateside,2004,97,16,5.4,247,Drama,R_rated
"Station Agent, The",2003,88,0.5,8.1,7112,Drama,R_rated
Steal Big Steal Little,1995,135,35,4.6,263,Comedy,Non_R_Rated
Stealing Harvard,2002,82,25,4.7,2547,Comedy,Non_R_Rated
Steamboy,2004,126,20,6.6,529,Action,Non_R_Rated
Steel,1997,97,16,2.6,1607,Action,Non_R_Rated
"Stepford Wives, The",2004,93,90,5.3,7773,Comedy,Non_R_Rated
Stepmom,1998,124,50,6.1,7470,Comedy,Non_R_Rated
Stigmata,1999,103,32,6,14062,Drama,R_rated
Stolen Summer,2002,91,1.5,6.2,801,Drama,Non_R_Rated
"Story of Us, The",1999,95,50,5.6,4953,Comedy,R_rated
Strange Days,1995,145,42,6.9,11869,Action,R_rated
Strangers on a Train,1951,103,1.2,8.3,10624,Drama,Non_R_Rated
Stripes,1981,106,10,6.8,7406,Comedy,R_rated
Striptease,1996,117,50,3.8,7998,Comedy,R_rated
Stuart Little,1999,81,103,6,8009,Comedy,Non_R_Rated
Stuart Little 2,2002,82,120,5.9,2324,Comedy,Non_R_Rated
Sugar & Spice,2001,84,11,5.3,2901,Comedy,Non_R_Rated
Sugar Town,1999,92,0.25,5.8,307,Comedy,R_rated
Suicide Kings,1997,106,5,7,6117,Comedy,R_rated
"Sum of All Fears, The",2002,123,68,6.6,15835,Action,Non_R_Rated
Summer Catch,2001,105,17,4.5,2581,Comedy,Non_R_Rated
Summer of Sam,1999,142,22,6.5,8151,Drama,R_rated
Sunshine State,2002,141,5.6,7,1481,Drama,Non_R_Rated
Super Size Me,2004,100,0.3,7.7,9487,Documentary,Non_R_Rated
Super Troopers,2001,100,3,6.3,7728,Comedy,R_rated
Superman,1978,151,55,7.1,17327,Action,Non_R_Rated
Superstar,1999,81,14,4.5,2880,Comedy,Non_R_Rated
Surviving Picasso,1996,125,16,6.1,1139,Drama,R_rated
Suspect Zero,2004,99,27,5.7,1310,Drama,R_rated
Sweepers,1999,93,12.5,3.9,276,Action,R_rated
Sweet Home Alabama,2002,108,38,5.8,9943,Comedy,Non_R_Rated
Sweet November,2001,115,40,5.5,5458,Comedy,Non_R_Rated
"Sweetest Thing, The",2002,90,43,4.7,8284,Comedy,R_rated
Swept Away,2002,89,10,3.8,2113,Comedy,R_rated
Swimfan,2002,85,8.5,4.5,3863,Drama,Non_R_Rated
Swimming with Sharks,1994,101,0.7,7.1,4837,Comedy,R_rated
Swingers,1996,96,0.2,7.6,15827,Comedy,R_rated
Swiri,1999,125,5,6.6,1704,Action,R_rated
Switchback,1997,118,38,6.1,2195,Action,R_rated
Swordfish,2001,99,80,6.2,20455,Action,R_rated
THX 1138,1971,88,0.777,6.5,4274,Drama,R_rated
Tadpole,2002,78,0.15,6.3,1769,Comedy,Non_R_Rated
Taegukgi hwinalrimyeo,2004,140,12.8,8.5,1792,Action,R_rated
"Tailor of Panama, The",2001,109,18,6.1,5997,Comedy,R_rated
"Talented Mr. Ripley, The",1999,139,40,7,25974,Drama,R_rated
Tales from the Hood,1995,98,6,5.1,548,Action,R_rated
Tank Girl,1995,104,25,4.6,4400,Action,R_rated
Tart,2001,94,3.3,4.6,714,Drama,R_rated
Tarzan and the Lost City,1998,83,20,3.6,510,Action,Non_R_Rated
"Taxman, The",1999,104,1,5.7,169,Action,R_rated
Tea with Mussolini,1999,117,12,6.7,2711,Comedy,Non_R_Rated
Teacher's Pet,2004,74,10,5.6,218,Animation,Non_R_Rated
Teaching Mrs. Tingle,1999,96,13,5,5244,Comedy,Non_R_Rated
Team America: World Police,2004,98,30,7.3,13104,Action,R_rated
Tears of the Sun,2003,121,70,6.2,8690,Action,R_rated
Ted Bundy,2002,99,1.2,5.2,852,Drama,R_rated
"Terminal, The",2004,128,60,7.1,15809,Comedy,Non_R_Rated
Terminator 2: Judgment Day,1991,154,100,8.2,77614,Action,R_rated
Terminator 3: Rise of the Machines,2003,109,175,6.9,32111,Action,R_rated
Terror Tract,2000,96,11,5.6,281,Comedy,R_rated
"Texas Chainsaw Massacre, The",2003,98,9.2,5.9,9587,Action,R_rated
Texas Rangers,2001,86,38,5.1,945,Drama,Non_R_Rated
Theodore Rex,1995,92,33,2.2,567,Comedy,Non_R_Rated
There Goes My Baby,1994,110,10.5,6.1,253,Comedy,R_rated
There's Something About Mary,1998,134,23,7.2,46343,Comedy,R_rated
"Thin Line Between Love and Hate, A",1996,108,8,4.4,458,Comedy,R_rated
"Thin Red Line, The",1998,170,52,7.2,25637,Action,R_rated
Things to Do in Denver When You're Dead,1995,115,8,6.6,5703,Drama,R_rated
Thir13en Ghosts,2001,87,20,5.1,8292,Comedy,R_rated
Thirteen,2003,100,1.5,7.1,8652,Drama,R_rated
Thirteen Conversations About One Thing,2001,104,3,7.2,2883,Drama,R_rated
Thirteen Days,2000,145,80,7.4,10926,Drama,Non_R_Rated
"Thomas Crown Affair, The",1999,113,48,6.7,17220,Comedy,R_rated
Three Kings,1999,114,48,7.3,31503,Action,R_rated
Three to Tango,1999,98,20,6,5719,Comedy,Non_R_Rated
Thunderbirds,2004,95,57,4.4,1419,Action,Non_R_Rated
Time Changer,2002,95,0.825,4.5,304,Drama,Non_R_Rated
"Time Machine, The",2002,96,80,5.5,12424,Action,Non_R_Rated
"Time to Kill, A",1996,149,40,6.9,15577,Drama,R_rated
Timecode,2000,97,4,6.2,2320,Comedy,R_rated
Tin Cup,1996,135,45,6.2,7521,Comedy,R_rated
Titan A.E.,2000,94,75,6.4,9373,Action,Non_R_Rated
Titanic,1997,194,200,6.9,90195,Drama,Non_R_Rated
Tomcats,2001,95,11,4.7,3717,Comedy,R_rated
Tomorrow Never Dies,1997,119,110,6.4,19397,Action,Non_R_Rated
Torque,2004,81,40,3.2,4050,Action,Non_R_Rated
"Touch, The",2002,103,20,4.5,417,Action,Non_R_Rated
Town & Country,2001,104,90,4.5,1434,Comedy,R_rated
Traffic,2000,147,48,7.8,41268,Drama,R_rated
Training Day,2001,120,45,7.3,22776,Drama,R_rated
Trainspotting,1996,94,3.5,8,51887,Drama,R_rated
Treasure Planet,2002,95,140,6.6,3724,Animation,Non_R_Rated
Trees Lounge,1996,95,1.3,7.1,3155,Comedy,R_rated
Trekkies,1997,86,0.375,6.9,1526,Documentary,Non_R_Rated
"Trigger Effect, The",1996,94,8,5.4,1591,Action,R_rated
Triggermen,2002,96,12,5.8,317,Comedy,R_rated
"Triplettes de Belleville, Les",2003,78,8,7.7,6618,Animation,Non_R_Rated
"Triumph of Love, The",2001,112,5,5.7,423,Comedy,Non_R_Rated
Trois 3: The Escort,2004,95,1,4.8,38,Drama,R_rated
Tromeo and Juliet,1996,108,0.35,5.8,1030,Comedy,R_rated
Troy,2004,162,185,7.1,33979,Action,R_rated
"Truman Show, The",1998,103,60,7.7,62434,Comedy,Non_R_Rated
Tuck Everlasting,2002,96,15,6.5,2055,Drama,Non_R_Rated
Tumbleweeds,1999,102,0.312,6.9,1146,Comedy,Non_R_Rated
"Tuxedo, The",2002,98,60,5.1,6070,Action,Non_R_Rated
Twelve Monkeys,1995,129,29,7.9,62301,Drama,R_rated
Twin Falls Idaho,1999,111,0.5,7.1,1547,Drama,R_rated
Twin Peaks: Fire Walk with Me,1992,135,10,6.5,6927,Drama,R_rated
Twist,2003,97,0.35,6,197,Drama,R_rated
Twister,1996,113,92,5.9,28315,Action,Non_R_Rated
Two Can Play That Game,2001,93,6,5.8,843,Comedy,R_rated
Two Girls and a Guy,1997,84,1,5.6,2014,Comedy,Non_R_Rated
Two Weeks Notice,2002,101,60,5.8,15010,Comedy,Non_R_Rated
U Turn,1997,125,19,6.5,10306,Drama,R_rated
U-571,2000,116,62,6.5,15792,Action,Non_R_Rated
U.S. Marshals,1998,131,60,6.1,10315,Action,Non_R_Rated
Ultimo tango a Parigi,1972,250,1.25,6.9,4007,Drama,Non_R_Rated
Unbreakable,2000,106,75,7.1,35842,Drama,Non_R_Rated
Under Siege 2: Dark Territory,1995,99,60,4.9,5551,Action,R_rated
Under Suspicion,2000,111,25,6.4,3718,Drama,R_rated
Under the Tuscan Sun,2003,113,18,6.7,4183,Comedy,Non_R_Rated
Undercover Brother,2002,85,25,6,5138,Action,Non_R_Rated
Undisputed,2002,96,20,5.6,1769,Action,R_rated
Unfaithful,2002,125,50,6.6,8713,Drama,R_rated
Unmade Beds,1997,95,1,6.7,148,Documentary,R_rated
Unstoppable,2004,96,15,4.8,579,Action,R_rated
"Untold, The",2002,92,3,3.8,400,Action,R_rated
Up Close & Personal,1996,124,60,5.7,3201,Drama,Non_R_Rated
"Upside of Anger, The",2005,118,13.2,7.2,1160,Comedy,R_rated
Urban Ghost Story,1998,82,0.3,5.3,167,Drama,R_rated
Urbania,2000,106,0.225,6.9,1089,Drama,R_rated
Utomlyonnye solntsem,1994,132,2.8,7.6,2173,Drama,R_rated
Vampire in Brooklyn,1995,100,14,4.4,2716,Comedy,R_rated
Vampires,1998,106,20,5.6,7908,Action,R_rated
Van Helsing,2004,132,160,5.4,19787,Action,Non_R_Rated
Van Wilder,2002,94,6,5.8,7799,Comedy,R_rated
Vanilla Sky,2001,136,68,6.9,31250,Drama,R_rated
Vanity Fair,2004,141,23,6.1,2151,Drama,Non_R_Rated
Varsity Blues,1999,100,16,6,7974,Drama,R_rated
Vatel,2000,125,36,6.4,1322,Drama,Non_R_Rated
"Vault, The",2005,87,0.1,2.4,64,Action,Non_R_Rated
"Velocity of Gary, The",1998,100,4,4.7,570,Comedy,R_rated
Veronica Guerin,2003,92,17,6.8,2688,Drama,R_rated
Vertical Limit,2000,124,75,5.6,10273,Action,Non_R_Rated
Very Bad Things,1998,100,10,5.8,10001,Comedy,R_rated
"Very Brady Sequel, A",1996,90,15,5.3,2183,Comedy,Non_R_Rated
"Village, The",2004,108,60,6.6,25729,Drama,Non_R_Rated
"Violon rouge, Le",1998,140,10,7.8,6995,Drama,R_rated
"Virgin Suicides, The",1999,90,6,7.2,17524,Drama,R_rated
Virtuosity,1995,106,30,5.3,4183,Action,R_rated
Volcano,1997,104,90,5.2,8627,Action,Non_R_Rated
Vor,1997,110,2,7.2,841,Drama,R_rated
Wag the Dog,1997,97,15,7,16434,Comedy,R_rated
Waiting for Guffman,1996,84,4,7.6,7337,Comedy,R_rated
Waiting to Exhale,1995,127,15,5.1,1611,Comedy,R_rated
Waking Ned,1998,92,3,7.3,7232,Comedy,Non_R_Rated
"Walk in the Clouds, A",1995,102,20,6.2,4085,Drama,Non_R_Rated
"Walk on the Moon, A",1999,105,14,6.6,1815,Drama,R_rated
"Walk to Remember, A",2002,101,11,6.8,7124,Drama,Non_R_Rated
Walking Across Egypt,1999,100,4.5,6.9,247,Drama,Non_R_Rated
Walking Tall,2004,87,56,5.9,4839,Action,Non_R_Rated
Walking and Talking,1996,86,1,6.6,888,Comedy,R_rated
War and Peace,1956,208,6,6.6,795,Drama,Non_R_Rated
Warriors of Virtue,1997,101,35,3.6,389,Action,Non_R_Rated
"Waterboy, The",1998,90,23,5.5,15539,Comedy,Non_R_Rated
Waterworld,1995,176,175,5.4,19325,Action,Non_R_Rated
We Don't Live Here Anymore,2004,101,3,6.1,1387,Drama,R_rated
We Were Soldiers,2002,143,75,7.1,14939,Action,R_rated
"Wedding Date, The",2005,90,15,5,953,Comedy,Non_R_Rated
"Wedding Party, The",1969,92,0.043,5.2,94,Comedy,R_rated
"Wedding Planner, The",2001,103,35,4.9,7393,Comedy,Non_R_Rated
Welcome to Collinwood,2002,86,12,6.1,2831,Comedy,R_rated
Welcome to Mooseport,2004,117,26,5.3,2356,Comedy,Non_R_Rated
Welcome to Sarajevo,1997,103,9,6.8,1465,Drama,R_rated
Welcome to the Dollhouse,1995,88,0.8,7.4,5851,Comedy,R_rated
What Dreams May Come,1998,113,85,6.3,11706,Drama,Non_R_Rated
What Lies Beneath,2000,130,90,6.6,20584,Drama,Non_R_Rated
What Planet Are You From?,2000,104,50,5.6,2574,Comedy,R_rated
What Women Want,2000,127,65,6.4,20138,Comedy,Non_R_Rated
What a Girl Wants,2003,105,20,5.7,3533,Comedy,Non_R_Rated
What's the Worst That Could Happen?,2001,97,45,5,2531,Comedy,Non_R_Rated
Whatever It Takes,2000,94,15,5.2,1771,Comedy,Non_R_Rated
When Zachary Beaver Came to Town,2003,85,3,7.9,35,Drama,Non_R_Rated
Where the Heart Is,2000,120,15,6.4,5042,Comedy,Non_R_Rated
Where the Money Is,2000,89,18,6.2,1461,Comedy,Non_R_Rated
Where's Marlowe?,1998,97,3.5,6.2,188,Comedy,R_rated
While You Were Sleeping,1995,103,17,6.5,13035,Comedy,Non_R_Rated
Whipped,2000,82,3,4.4,1562,Comedy,R_rated
White Oleander,2002,109,16,6.9,4545,Drama,Non_R_Rated
White Squall,1996,129,38,6.4,3445,Drama,Non_R_Rated
"Whole Ten Yards, The",2004,98,40,4.8,4133,Comedy,Non_R_Rated
"Whole Wide World, The",1996,111,1.3,7.4,956,Drama,Non_R_Rated
Wicked Spring,2002,102,0.5,5.6,158,Drama,Non_R_Rated
Wicker Park,2004,114,30,6.4,3143,Drama,Non_R_Rated
Wide Awake,1998,88,7,6,655,Comedy,Non_R_Rated
"Wild Angels, The",1966,93,0.36,4.7,212,Action,R_rated
"Wild Ride, The",1960,88,0.03,3.8,56,Drama,Non_R_Rated
"Wild Thornberrys Movie, The",2002,85,35,4.7,4008,Animation,Non_R_Rated
Wild Wild West,1999,107,170,4,19078,Action,Non_R_Rated
Wild in the Streets,1968,94,1,5.9,329,Drama,R_rated
Wilde,1997,118,10,6.9,2545,Drama,R_rated
Willard,2003,100,22,6.2,2913,Comedy,Non_R_Rated
Wimbledon,2004,98,31,6.3,4297,Comedy,Non_R_Rated
Win a Date with Tad Hamilton!,2004,95,24,5.8,2933,Comedy,Non_R_Rated
Wind River,1998,97,5.5,5.4,97,Drama,Non_R_Rated
Windtalkers,2002,153,115,5.9,9081,Action,R_rated
Wing Commander,1999,96,30,3.7,4854,Action,Non_R_Rated
Wisegirls,2002,96,11,5.7,792,Drama,R_rated
Without Limits,1998,117,25,6.8,1249,Drama,Non_R_Rated
Without a Paddle,2004,95,19,5.4,3605,Comedy,Non_R_Rated
Wo hu cang long,2000,120,15,8.2,52198,Action,Non_R_Rated
Woman on Top,2000,92,8,5.3,2094,Comedy,R_rated
Wonder Boys,2000,111,35,7.6,15668,Comedy,R_rated
Woo,1998,84,13,3.5,407,Comedy,R_rated
"Wood, The",1999,102,6,6.2,1170,Comedy,R_rated
"Work and the Glory, The",2004,118,7.5,6.3,180,Drama,Non_R_Rated
"World Is Not Enough, The",1999,128,135,6.3,24205,Action,Non_R_Rated
World Traveler,2001,103,2,5.4,350,Drama,R_rated
"X Files, The",1998,121,66,6.7,18314,Action,Non_R_Rated
X-Men,2000,104,75,7.3,45332,Action,Non_R_Rated
X2,2003,133,110,7.9,38191,Action,Non_R_Rated
"Yards, The",2000,115,20,6.3,3386,Drama,R_rated
Ying xiong,2002,93,30,8.1,24128,Action,Non_R_Rated
Yo puta,2004,76,6,4.3,151,Drama,R_rated
You Can Count on Me,2000,111,1.2,7.8,7630,Drama,R_rated
You Got Served,2004,95,8,1.9,6041,Drama,Non_R_Rated
You've Got Mail,1998,119,65,6.2,20053,Comedy,Non_R_Rated
Your Friends & Neighbors,1998,100,5,6.4,2659,Comedy,R_rated
Zero Effect,1998,116,5,7,4820,Comedy,R_rated
Zoolander,2001,89,28,6.1,18277,Comedy,Non_R_Rated
xXx,2002,132,85,5.5,18514,Action,Non_R_Rated
xXx: State of the Union,2005,101,87,3.9,1584,Action,Non_R_Rated